id,number,title,body,agent,repository,html_url,total_changes,num_files_changed,merge_status,group,change_type,accept_reject_reason,observation
3138995292,16221,"Fix typo: ""asynchnorous"" should be ""asynchronous"" in anthropic/__init__.py","<details><summary>&#x1F6E0 DevTools &#x1F6E0</summary>
<p>

[![Open in GitHub Codespaces](https://github.com/codespaces/badge.svg)](https://codespaces.new/Copilot/mlflow/pull/16221?quickstart=1)

#### Install mlflow from this PR

```
# mlflow
pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16221/merge
# mlflow-skinny
pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16221/merge#subdirectory=skinny
```

For Databricks, use the following command:

```
%sh curl -LsSf https://raw.githubusercontent.com/mlflow/mlflow/HEAD/dev/install-skinny.sh | sh -s pull/16221/merge
```

</p>
</details>

Fixed a spelling error in the docstring of `mlflow.anthropic.autolog()` function where ""asynchnorous"" was incorrectly spelled instead of ""asynchronous"".

**Changes:**
- Updated line 17 in `mlflow/anthropic/__init__.py`
- Changed ""Only synchronous calls and asynchnorous APIs are supported"" to ""Only synchronous calls and asynchronous APIs are supported""

This is a simple documentation improvement that enhances code readability without affecting any functionality.

Fixes #16220.

<!-- START COPILOT CODING AGENT TIPS -->
---

💡 You can make Copilot smarter by setting up custom instructions, customizing its development environment and configuring Model Context Protocol (MCP) servers. Learn more [Copilot coding agent tips](https://gh.io/copilot-coding-agent-tips) in the docs.",copilot,mlflow/mlflow,https://github.com/mlflow/mlflow/pull/16221,12.0,6.0,Merged,Large but Merged,,,
3263193319,13119,Fix Zig transpiler printing and benchmark stats,"## Summary
- update Zig codegen to use new `std.io.getStdOut().writer()` API
- add Linux memory stats for benchmark mode
- let rosetta tests use real time when benchmarking
- regenerate Zig output and bench data for first Rosetta programs
- refresh durations in `ROSETTA.md`

## Testing
- `MOCHI_ROSETTA_INDEX=1 MOCHI_BENCHMARK=true go test -tags slow ./transpiler/x/zig -run TestZigTranspiler_Rosetta -count=1 -v`
- `MOCHI_ROSETTA_INDEX=2 MOCHI_BENCHMARK=true go test -tags slow ./transpiler/x/zig -run TestZigTranspiler_Rosetta -count=1 -v`
- `MOCHI_ROSETTA_INDEX=1 go test -tags slow ./transpiler/x/zig -run TestZigTranspiler_Rosetta -count=1`


------
https://chatgpt.com/codex/tasks/task_e_68837cab0d688320b7b096f7d5bfe12b",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/13119,52.0,7.0,Merged,Large but Merged,,,
3158767941,2028,Add missing Go golden tests,"## Summary
- add Go golden tests for arithmetic, floats, booleans
- add tests for string concatenation, list concatenation and map length
- update test_block golden output so Go subset tests pass

## Testing
- `go test ./compile/go -run TestGoCompiler_GoldenOutput -tags slow`
- `go test ./compile/go -run TestGoCompiler_SubsetPrograms -tags slow`


------
https://chatgpt.com/codex/tasks/task_e_68537d8644ec83209b1cdbbf1f2b0ca6",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/2028,89.0,19.0,Merged,Large but Merged,,,
3116697493,687,Add bounds checks for array deserialisation,"## Summary
- guard against unreasonably large arrays in BytesMarshaller
- expose new system property `bytes.max-array-len`
- document the property in `systemProperties.adoc`
- default the maximum array length to 16 MB instead of 1 MB

## Testing
- `mvn -q verify` *(fails: `mvn` not found)*

------
https://chatgpt.com/codex/tasks/task_e_683fd26c7bf4832989b650e0f8381083",openai_codex,OpenHFT/Chronicle-Bytes,https://github.com/OpenHFT/Chronicle-Bytes/pull/687,133.0,4.0,Merged,Large but Merged,,,
3122290925,804,Remove Biome configs and switch to Prettier,"## Summary
- drop Biome configuration and references
- switch formatting scripts to use Prettier
- add Prettier as a dev dependency
- update VSCode settings

## Testing
- `bun run lint` *(fails: Could not find ""@comp/app#topo"" in root turbo.json)*
- `npx prettier --write packages/ui/src/components/chart.tsx`

------
https://chatgpt.com/codex/tasks/task_e_6841cf3635108320807aa7cb90c8219e",openai_codex,trycompai/comp,https://github.com/trycompai/comp/pull/804,5402.0,315.0,Merged,Large but Merged,,,
3161557128,2467,vendor imghdr into metaflow,"closes #2466 

",openai_codex,Netflix/metaflow,https://github.com/Netflix/metaflow/pull/2467,273.0,5.0,Merged,Large but Merged,,,
3220800812,1049,Add text sampling script,"## Summary
- add `sample_lm.py` to demonstrate generation via `KvPageCache`

## Testing
- `pre-commit run --files src/levanter/main/sample_lm.py`

------
https://chatgpt.com/codex/tasks/task_e_68702297716c8331895ecc6d9ed63351",openai_codex,stanford-crfm/levanter,https://github.com/stanford-crfm/levanter/pull/1049,129.0,1.0,Merged,Large but Merged,,,
3205288359,5325,Improve Rust to Mochi conversion,"## Summary
- extend `any2mochi` Rust converter with constant and type alias support
- handle trailing expressions in Rust functions
- strip generic parameters when converting types
- update golden `.mochi` outputs for Rust samples
- document supported/unsupported Rust features

## Testing
- `go test ./...`

------
https://chatgpt.com/codex/tasks/task_e_68695839a4ac83208bd228c5fd765753",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/5325,146.0,24.0,Merged,Large but Merged,,,
3277105277,15088,Add cross_join Haskell AST,"## Summary
- regenerate Haskell AST for cross_join example using aster/haskell

## Testing
- `go test ./...` *(fails: no test files)*

------
https://chatgpt.com/codex/tasks/task_e_688a1c9500ec8320a054e39a4efa6d6e",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/15088,1505.0,1.0,Merged,Large but Merged,,,
3045353166,3442,docs: add changelog for 2025-05-09,"# Add changelog for 2025-05-09

This PR adds the weekly changelog for May 9, 2025, following the standardized format with the Drizzle Studio update in the improvements section.

**PREVIEW:**
https://neon-next-git-devin-1746610305-changelog-neondatabase.vercel.app/docs/changelog/2025-05-09

## Changes
- Created new changelog file with date-based filename (2025-05-09.md)
- Added Drizzle Studio update to the improvements section
- Followed standard changelog template structure

Link to Devin run: https://app.devin.ai/sessions/d88f241ca0384215a08c5d8fdd95ca11

Requested by: Daniel Price (daniel@neon.tech)
",devin,neondatabase/website,https://github.com/neondatabase/website/pull/3442,189.0,1.0,Merged,Large but Merged,,,
3137901992,363,Remove cap_table_uploads feature completely,"# Remove cap_table_uploads feature completely

This PR completely removes the cap_table_uploads feature from the Flexile codebase as requested.

## Changes Made

### Backend Changes
- **Modified** `backend/app/models/company.rb` - Removed `has_many :cap_table_uploads` association
- **Modified** `backend/spec/models/company_spec.rb` - Removed cap_table_uploads association test
- **Modified** `backend/db/schema.rb` - Removed cap_table_uploads table definition

### Frontend Changes  
- **Modified** `frontend/db/schema.ts` - Removed capTableUploads table definition and companies relation
- All other cap_table_uploads related files (tRPC routes, pages, services, tests) were already removed in previous commits

## Feature Overview (Removed)
The cap_table_uploads feature allowed administrators to:
- Upload cap table documents (Excel/JSON files, max 4 files)
- Process documents using OpenAI to extract investor and share data
- Track upload status (submitted, processing, completed, etc.)
- Populate company cap table data automatically

## Database Migration
Since the cap_table_uploads table does not exist in the current database state, no migration is needed. The schema files have been updated to reflect the removal.

## Verification
- ✅ All references to cap_table_uploads, capTableUploads, CapTableUpload removed
- ✅ Company model and spec updated to remove association
- ✅ Database schemas updated on both backend and frontend
- ✅ Clean git history without build artifacts

Link to Devin run: https://app.devin.ai/sessions/078de131370841e98ff33a214985e22f
",devin,antiwork/flexile,https://github.com/antiwork/flexile/pull/363,1162.0,18.0,Merged,Large but Merged,,,
3241443021,9416,Regenerate TPCH C# golden files,"## Summary
- refresh C# compiler output for TPCH queries

## Testing
- `go test -tags slow ./compiler/x/cs -run TestCSCompiler_TPCH_Golden` *(fails: dotnet run error)*

------
https://chatgpt.com/codex/tasks/task_e_68793e02eda88320a14bd97d68febd1f",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/9416,977.0,19.0,Merged,Large but Merged,,,
3186152638,3962,Update vm IR golden outputs,"## Summary
- regenerate IR golden files in `tests/vm/valid`

## Testing
- `go test ./tests/vm -run TestVM_IR -update -tags=slow -v`

------
https://chatgpt.com/codex/tasks/task_e_68613914b8a88320824b3234eec1eca9",openai_codex,mochilang/mochi,https://github.com/mochilang/mochi/pull/3962,967.0,9.0,Merged,Large but Merged,,,
